,Parameter/Countries,World,Canada,Israel,Chile,European Union,Czechia,Italy,Bahrain,Denmark,France,United States
0,alpha,0.013605737083423693,0.06876651573830168,0.001621340809315374,0.031938315533430774,0.44190740914275417,0.01433606325457051,0.010668079154464076,0.02057257911127752,0.007035313845151271,6.890791365246416e-05,0.0001327677568451166
1,beta,0.01871837877654321,0.02823327206817745,0.022876927422103295,0.038831637593672655,0.005844542685741592,0.2697432587915386,0.03347551232870335,0.007773433585596102,0.05774234659189125,3.026199170742942e-06,0.041785985385156287
2,del1,5.227533012416052e-05,0.04836734890267716,0.033631073770045476,0.05631127974260882,0.06902277440311777,0.00036771140366044643,0.022132581894775034,0.004942919040229284,0.06551251131536413,0.03827996601429111,0.07009043492948566
3,del2,0.04247232100792947,5.225873144291076e-06,0.03893298872433724,0.012740911797491329,0.09180338551375068,0.006448221545656168,2.6172018685554593e-06,0.020854984572348603,0.0005051127182860304,0.08915454896621812,0.007708718468353436
4,chi,0.02523865687783977,0.09074548205167911,0.06904851939232894,0.07883912227029598,0.047032861347871206,0.6359012673212767,0.03535469977677366,0.023142356098097113,0.08555701335554562,0.014995712205125898,0.06716315814519794
5,dels,0.0013039826359494508,0.0005768696108554952,0.00029532913570450193,0.000521441703056008,0.0016135534790017575,0.00042832418268307657,0.0047059199037286625,0.0006760841898219066,0.0011815965851723464,0.0020901060856102567,0.0014966946559118498
6,rho,0.019749389603961658,0.021363273240412865,0.02554544250583538,0.013362075031171717,0.012868882492063893,0.04472370297925271,0.021948566644154698,0.01941555556569055,0.017765458123167016,0.05193861636579976,0.01278079673776635
7,phi,0.17443419981482558,0.16820657553155352,0.1757641577532333,0.19895975994467557,0.04036811389661068,0.19998630103473186,0.18873863068115637,0.19643662322264274,0.1622502079034368,0.05334154340651181,0.1651470945098517
8,phi2,0.1136668162190201,0.1543663409729352,0.015986595489517696,0.1145612069419963,0.24949316444301364,0.2494340670513256,0.03217057238136664,0.023547922105570003,0.629684939931596,0.10427830119618119,0.006730721973940108
9,theta,0.050997625175778535,0.06837644986480589,0.0853005960658396,0.061827101170347024,0.06459583076148298,0.4441216418198707,0.027339711937452427,0.05159451650096495,0.10231926935648894,0.051974588065188884,0.06236453353534823
10,S0,520749.3481425574,519269.3869207141,519190.73323109216,517975.083628643,522695.13465101586,539356.8053373453,517420.34266959224,507727.43020024855,546330.3307145643,535634.6729935982,532220.8727202266
11,Es0,26856.15858008387,28351.19551339051,32657.58445937563,26872.407340299837,38404.79179515506,71714.40531561083,69227.82963104683,13065.948902974655,33951.82407495565,55395.562533078024,73483.7691826324
12,Is0,518.1487494851573,23646.829187352265,29690.934075450255,22115.66625364748,38261.189403338176,24008.955126537534,763.3884661115455,11786.781096287126,6245.194996375048,4378.320118954621,6295.166725162803
